날짜,종가,등락율,시작가,최고가,최저가,거래량
2021-08-17,74200,-0.27,74000,75100,74000,30944847
2021-08-13,74400,-3.38,75800,76000,74100,61270643
2021-08-12,77000,-1.91,77100,78200,76900,42365223
2021-08-11,78500,-2.12,79600,79800,78500,30241137
2021-08-10,80200,-1.60,82300,82400,80100,20362639
2021-08-09,81500,0.00,81500,82300,80900,15522581
2021-08-06,81500,-0.73,81900,82500,81300,13342623
2021-08-05,82100,-0.97,83300,83300,82000,18485469
2021-08-04,82900,1.84,82200,83100,81800,25642368
2021-08-03,81400,2.65,79400,81400,79300,24339360
2021-08-02,79300,1.02,79200,79500,78700,11739124
2021-07-30,78500,-0.63,78900,78900,78500,13823411
2021-07-29,79000,-0.25,78800,79400,78800,14360453
2021-07-28,79200,0.89,78300,79200,78100,12743417
2021-07-27,78500,-0.38,79200,79400,78500,11427693
2021-07-26,78800,-0.63,79400,79500,78800,10040975
2021-07-23,79300,-0.50,79700,79900,79200,9098910
2021-07-22,79700,1.53,79000,79800,78900,12618790
2021-07-21,78500,-0.63,79000,79100,78500,12355296
2021-07-20,79000,0.00,78500,79000,78400,12456646
2021-07-19,79000,-1.00,79100,79200,78800,13155414
2021-07-16,79800,-0.99,80100,80100,79500,10859399
2021-07-15,80600,1.38,79800,80600,79500,13766279
2021-07-14,79500,-0.38,79400,79600,79100,11575636
2021-07-13,79800,0.13,80000,80200,79800,9863450
2021-07-12,79700,0.38,79900,80000,79500,9768108
2021-07-09,79400,-0.63,79600,79800,79000,22720577
2021-07-08,79900,-1.11,81100,81200,79900,16660998
2021-07-07,80800,-0.49,81200,81300,80300,15992202
2021-07-06,81200,1.00,80600,81200,80500,12131651
2021-07-05,80400,0.50,80100,80800,80000,8330969
2021-07-02,80000,-0.12,80000,80400,79900,8753097
2021-07-01,80100,-0.74,80500,80600,80000,13382882
2021-06-30,80700,-0.37,81100,81400,80700,13288643
2021-06-29,81000,-1.10,81900,82100,80800,15744317
2021-06-28,81900,0.37,81700,82000,81600,11578529
2021-06-25,81600,0.49,81500,81900,81200,13481405
2021-06-24,81200,1.37,80400,81400,80100,18771080
2021-06-23,80100,0.13,80500,80600,79900,13856548
2021-06-22,80000,0.13,80200,80300,79900,11773365
2021-06-21,79900,-0.75,79700,80000,79600,16063340
2021-06-18,80500,-0.49,81100,81100,80500,14916721
2021-06-17,80900,-1.10,81100,81300,80700,14007385
2021-06-16,81800,1.11,81500,81900,81100,14999855
2021-06-15,80900,0.50,80900,81200,80600,10075685
2021-06-14,80500,-0.62,80800,80900,80500,10550078
2021-06-11,81000,0.00,81200,81700,80700,14087962
2021-06-10,81000,-0.12,81300,81400,80900,17586995
2021-06-09,81100,-0.98,81500,82000,81100,14908823
2021-06-08,81900,0.00,82300,82600,81800,12781226
2021-06-07,81900,-0.36,82700,82800,81600,16496197
2021-06-04,82200,-0.72,82700,82700,81500,18112259
2021-06-03,82800,2.48,81300,83000,81100,29546007
2021-06-02,80800,0.25,80400,81400,80300,16414644
2021-06-01,80600,0.12,80500,81300,80100,14058401
2021-05-31,80500,0.50,80300,80600,79600,13321324
2021-05-28,80100,0.63,79800,80400,79400,12360199
2021-05-27,79600,-0.25,80000,80000,79100,23198510
2021-05-26,79800,-0.13,80400,80500,79700,11984359
2021-05-25,79900,0.25,80000,80400,79800,13628942
2021-05-24,79700,-0.50,80100,80400,79500,13398666
2021-05-21,80100,0.75,80100,81500,79800,20961714
2021-05-20,79500,-0.13,79400,79700,79100,16541828
2021-05-18,79600,0.00,79600,80000,79100,17494407
2021-05-17,79600,-0.62,80800,80900,79200,17740855
2021-05-14,80100,2.04,79000,80300,78900,16450920
2021-05-13,78500,-1.88,78900,79600,78400,31490096
2021-05-12,80000,-1.48,80800,81200,79800,35812268
2021-05-11,81200,-2.40,82500,82600,81100,28996680
2021-05-10,83200,1.59,82300,83500,81800,19385027
2021-05-07,81900,-0.49,81800,82100,81500,14154882
2021-05-06,82300,-0.36,81700,82300,81700,17047511
2021-05-04,82600,1.10,81900,82600,81800,12532550
2021-05-03,81700,0.25,81000,82400,81000,15710336
2021-04-30,81500,-0.24,81900,82100,81500,18673197
2021-04-29,81700,-0.49,82400,82500,81500,20000973
2021-04-28,82100,-0.97,83200,83200,82100,15596759
2021-04-27,82900,-0.72,83200,83300,82500,12941533
2021-04-26,83500,0.85,82900,83500,82600,15489938
2021-04-23,82800,0.49,81900,82900,81600,17805080
2021-04-22,82400,-0.24,82900,83000,82400,13934746
2021-04-21,82600,-1.55,83300,83500,82500,21636079
2021-04-20,83900,0.72,83300,84000,83100,15521965
2021-04-19,83300,-0.72,83800,84000,83300,15287311
2021-04-16,83900,-0.24,84700,84700,83600,15429522
2021-04-15,84100,0.12,83700,84500,83400,16377412
2021-04-14,84000,0.00,84000,84300,83400,13794652
2021-04-13,84000,0.96,83000,84500,82800,15238206
2021-04-12,83200,-0.48,84100,84100,83100,12915282
2021-04-09,83600,-1.30,84700,84900,83400,18193707
2021-04-08,84700,-1.05,85700,85700,84100,19244259
2021-04-07,85600,-0.47,86100,86200,85400,17885538
2021-04-06,86000,0.70,86200,86200,85100,19042023
2021-04-05,85400,0.71,85800,86000,84800,16255990
2021-04-02,84800,2.29,84000,85200,83900,22997538
2021-04-01,82900,1.84,82500,83000,82000,18676461
2021-03-31,81400,-0.97,82400,82700,81400,17240518
2021-03-30,82200,0.74,81600,82300,81300,13121698
2021-03-29,81600,0.12,81700,81700,81000,14952134
2021-03-26,81500,0.37,81400,81600,81000,12845778
2021-03-25,81200,0.25,81000,82100,80800,14758826
2021-03-24,81000,-0.98,81000,81600,80700,17926638
2021-03-23,81800,-0.24,82600,82900,81800,13299907
2021-03-22,82000,0.12,82000,82300,81700,12670506
2021-03-19,81900,-1.21,82100,82500,81800,15869700
2021-03-18,82900,0.73,82800,83800,82600,18585244
2021-03-17,82300,-0.60,82800,82900,82000,11625146
2021-03-16,82800,1.22,82200,83000,82100,12293537
2021-03-15,81800,-1.21,82800,82900,81800,13735798
2021-03-12,82800,0.98,83100,83500,82400,13530573
2021-03-11,82000,1.36,81000,82500,81000,23818297
2021-03-10,80900,-0.61,82400,82500,80700,20038422
2021-03-09,81400,-0.73,81400,81900,80600,25420764
2021-03-08,82000,-0.12,82900,83000,81600,17641256
2021-03-05,82100,-0.36,81100,82600,81100,20508971
2021-03-04,82400,-1.90,82600,83200,82200,24348331
2021-03-03,84000,0.48,83500,84000,82800,19882132
2021-03-02,83600,1.33,85100,85300,83000,33498180
2021-02-26,82500,-3.28,82800,83400,82000,38520800
2021-02-25,85300,4.02,84000,85400,83000,34155986
2021-02-24,82000,0.00,81800,83600,81300,26807651
2021-02-23,82000,-0.24,81200,82900,81100,20587314
2021-02-22,82200,-0.48,83800,84200,82200,25419886
2021-02-19,82600,0.61,82300,82800,81000,25880879
2021-02-18,82100,-1.32,83200,83600,82100,21327683
2021-02-17,83200,-2.00,83900,84200,83000,18307735
2021-02-16,84900,0.83,84500,86000,84200,20483100
2021-02-15,84200,3.19,83800,84500,83300,23529706
2021-02-10,81600,-1.33,82600,82600,81600,23025766
2021-02-09,82700,-0.36,84000,84800,82700,20898332
2021-02-08,83000,-0.60,83800,84200,83000,15338765
2021-02-05,83500,1.21,83100,84000,82500,18036835
2021-02-04,82500,-2.48,83500,83800,82100,24171688
2021-02-03,84600,0.24,84800,85400,83400,22112205
2021-02-02,84400,1.69,84100,86400,83700,26302077
2021-02-01,83000,1.22,81700,83400,81000,28046832
2021-01-29,82000,-2.03,84500,85000,82000,39615978
2021-01-28,83700,-2.22,83200,85600,83200,31859808
2021-01-27,85600,-1.27,86600,87700,85600,26423070
2021-01-26,86700,-3.02,88800,89200,86500,33178936
2021-01-25,89400,3.00,87000,89900,86300,27258534
2021-01-22,86800,-1.48,89000,89700,86800,30861661
2021-01-21,88100,1.03,87500,88600,86500,25318011
2021-01-20,87200,0.23,89000,89000,86500,25211127
2021-01-19,87000,2.35,84500,88000,83600,39895044
2021-01-18,85000,-3.41,86600,87300,84100,43227951
2021-01-15,88000,-1.90,89800,91800,88000,33431809
2021-01-14,89700,0.00,88700,90000,88700,26393970
2021-01-13,89700,-0.99,89800,91200,89100,36068848
2021-01-12,90600,-0.44,90300,91400,87800,48682416
2021-01-11,91000,2.48,90000,96800,89500,90306177
2021-01-08,88800,7.12,83300,90000,83000,59013307
2021-01-07,82900,0.85,82800,84200,82700,32644642
2021-01-06,82200,-2.03,83300,84500,82100,42089013
2021-01-05,83900,1.08,81600,83900,81600,35335669
2021-01-04,83000,2.47,81000,84400,80200,38655276
2020-12-30,81000,3.45,77400,81300,77300,29417421
2020-12-29,78300,-0.51,78800,78900,77300,30339449
2020-12-28,78700,1.16,79000,80100,78200,40085044
2020-12-24,77800,5.28,74100,78800,74000,32502870
2020-12-23,73900,2.21,72400,74000,72300,19411326
2020-12-22,72300,-0.96,72500,73200,72100,16304910
2020-12-21,73000,0.00,73100,73400,72000,20367355
2020-12-18,73000,-0.41,73300,73700,73000,17613029
2020-12-17,73300,-0.68,73400,73700,72600,24293214
2020-12-16,73800,0.00,74100,74500,73400,17512081
2020-12-15,73800,0.00,73800,74100,73300,20863671
2020-12-14,73800,0.54,73600,74500,73200,21510415
2020-12-11,73400,0.69,73500,73800,73100,18486672
2020-12-10,72900,-1.35,72700,73800,72500,39882928
2020-12-09,73900,3.07,72100,73900,72000,24077996
2020-12-08,71700,-1.65,72200,72900,71600,25000338
2020-12-07,72900,1.96,72400,73500,71900,28490496
2020-12-04,71500,2.58,70400,72100,70100,28130533
2020-12-03,69700,0.29,70100,70500,69300,23677989
2020-12-02,69500,2.51,68400,69900,68300,29703942
2020-12-01,67800,1.65,67100,68300,67100,22327173
2020-11-30,66700,-2.20,68400,68600,66700,43811016
2020-11-27,68200,0.29,68000,68400,67600,14063434
2020-11-26,68000,2.10,66100,68000,66000,19023323
2020-11-25,66600,-1.62,67900,68300,66500,32447065
2020-11-24,67700,0.30,67900,69500,67000,32158235
2020-11-23,67500,4.33,64800,67800,64700,27134398
2020-11-20,64700,0.15,63900,65200,63900,15068682
2020-11-19,64600,-0.31,64100,64800,63900,16590290
2020-11-18,64800,-1.37,65700,66200,64700,22963790
2020-11-17,65700,-0.90,67000,67000,65600,30204089
2020-11-16,66300,4.91,64000,66700,63900,36354334
2020-11-13,63200,3.61,61300,63200,61000,31508829
2020-11-12,61000,-0.49,61000,61400,60700,19800573
2020-11-11,61300,1.83,60700,61400,60400,25628510
2020-11-10,60200,0.00,60500,60500,59500,19073552
2020-11-09,60200,0.17,60700,60900,60100,15892961
2020-11-06,60100,-0.33,60700,60800,59600,16910230
2020-11-05,60300,3.08,59000,60300,58800,20639475
2020-11-04,58500,-0.51,58900,59000,57800,21718561
2020-11-03,58800,2.44,57900,58900,57600,14950919
2020-11-02,57400,1.41,56400,57500,56000,20489076
2020-10-30,56600,-2.58,58000,58000,56600,26907844
2020-10-29,58100,-1.53,58200,58500,57500,22636966
2020-10-28,59000,-1.34,59400,59400,58800,14428882
2020-10-27,59800,-0.99,60300,60300,59500,17260416
2020-10-26,60400,0.33,60400,61100,60100,13268226
2020-10-23,60200,0.17,60400,60400,59800,9322232
2020-10-22,60100,-1.31,60300,60500,59800,14294095
2020-10-21,60900,0.00,61200,61500,60600,15703443
2020-10-20,60900,1.50,60300,60900,60100,19326115
2020-10-19,60000,0.84,59600,60200,59500,14474985
2020-10-16,59500,-0.83,60000,60400,59000,16554190
2020-10-15,60000,-1.48,60700,60800,59700,17756232
2020-10-14,60900,0.00,61000,61100,60500,16086716
2020-10-13,60900,0.83,61000,61400,60400,19247631
2020-10-12,60400,1.17,60000,60400,59900,16145837
2020-10-08,59700,-0.33,60500,60700,59500,24589924
2020-10-07,59900,1.53,58700,59900,58500,14861838
2020-10-06,59000,0.51,59400,59900,58700,14463826
2020-10-05,58700,0.86,57500,59200,57500,20228289
2020-09-29,58200,0.00,58300,59000,58200,15503563
2020-09-28,58200,0.52,58300,58800,57900,12614080
2020-09-25,57900,0.17,57700,58200,57700,11444683
2020-09-24,57800,-1.37,57700,58600,57600,17564020
2020-09-23,58600,0.69,58400,58800,57400,20111398
2020-09-22,58200,-1.69,59100,59700,57800,20830381
2020-09-21,59200,-0.17,59100,60000,59000,15140387
2020-09-18,59300,-0.34,59800,59900,59100,18884571
2020-09-17,59500,-2.46,60700,60800,59300,25108356
2020-09-16,61000,0.00,61100,61300,60600,17041444
2020-09-15,61000,0.99,60900,61000,60500,17877075
2020-09-14,60400,2.37,60200,60800,59900,20648281
2020-09-11,59000,-0.34,59300,59400,58200,16017098
2020-09-10,59200,1.37,59900,60000,59100,29923293
2020-09-09,58400,-0.51,58200,59300,57800,30597399
2020-09-08,58700,3.89,57400,58700,57200,31517520
2020-09-07,56500,1.62,56100,57300,55800,18685880
2020-09-04,55600,-1.42,55200,55800,55100,22139109
2020-09-03,56400,3.68,55600,56700,55500,28384920
2020-09-02,54400,0.37,54600,55100,54100,16905723
2020-09-01,54200,0.37,54100,54800,54100,19363117
2020-08-31,54000,-2.53,56000,56100,54000,32671367
2020-08-28,55400,-0.36,56100,56300,55400,14619888
2020-08-27,55600,-1.42,56300,56300,55600,16196568
2020-08-26,56400,0.00,56400,56500,55700,17651593
2020-08-25,56400,0.53,56400,56800,56100,14021705
2020-08-24,56100,0.36,55800,56600,55400,15055896
2020-08-21,55900,0.90,56200,56900,55800,21142288
2020-08-20,55400,-4.15,57600,57600,55300,30386029
2020-08-19,57800,-1.03,59000,59200,57800,16930719
2020-08-18,58400,0.69,58900,59900,58000,25307825
2020-08-14,58000,-1.19,58000,58400,57700,15672548
2020-08-13,58700,-0.51,59400,59600,58000,22089460
2020-08-12,59000,1.37,58200,59000,57700,18573934
2020-08-11,58200,0.69,58000,59500,57800,24907912
2020-08-10,57800,0.52,57600,58300,57500,17774291
2020-08-07,57500,-0.86,57900,58400,57100,18751717
2020-08-06,58000,1.93,57100,58400,57100,21625874
2020-08-05,56900,-0.70,57300,57500,56300,17739706
2020-08-04,57300,0.88,57200,58100,57000,19419694
2020-08-03,56800,-1.90,57800,57900,56700,21158940
2020-07-31,57900,-1.86,59500,59600,57700,21943345
2020-07-30,59000,0.00,59700,60100,59000,19285354
2020-07-29,59000,0.68,60300,60400,58600,36476611
2020-07-28,58600,5.40,57000,58800,56400,48431566
2020-07-27,55600,2.58,54300,55700,54300,21054421
2020-07-24,54200,0.18,54000,54400,53700,10994535
2020-07-23,54100,-1.10,54700,54700,53800,16214932
2020-07-22,54700,-1.08,55300,55500,54700,12885057
2020-07-21,55300,2.03,55200,55400,54800,18297260
2020-07-20,54200,-0.37,54800,54800,54000,10507530
2020-07-17,54400,1.12,54200,54700,54100,10096174
2020-07-16,53800,-1.65,54800,54800,53800,16779127
2020-07-15,54700,1.67,54400,55000,54300,24051450
2020-07-14,53800,0.75,53700,53800,53200,14269484
2020-07-13,53400,1.33,53300,53800,53100,12240188
2020-07-10,52700,-0.19,53100,53200,52300,13714746
2020-07-09,52800,-0.38,53200,53600,52800,17054850
2020-07-08,53000,-0.75,53600,53900,52900,19664652
2020-07-07,53400,-2.91,55800,55900,53400,30760032
2020-07-06,55000,2.61,54000,55000,53800,19856623
2020-07-03,53600,1.32,53000,53600,52700,11887868
2020-07-02,52900,0.57,52100,52900,52100,14142583
2020-07-01,52600,-0.38,53400,53600,52400,16706143
2020-06-30,52800,0.76,53900,53900,52800,21157172
2020-06-29,52400,-1.69,52500,53200,52000,17776925
2020-06-26,53300,2.70,52800,53900,52200,21575360
2020-06-25,51900,-1.89,52100,53000,51900,18541624
2020-06-24,52900,2.92,51900,53900,51600,24519552
2020-06-23,51400,-1.15,52500,52800,51100,18086152
2020-06-22,52000,-1.70,52000,52600,51800,13801350
2020-06-19,52900,1.15,52600,52900,51600,18157985
2020-06-18,52300,0.19,52200,52300,51600,15982926
2020-06-17,52200,0.19,52100,52900,51300,26672595
2020-06-16,52100,4.41,51200,52100,50600,21808375
2020-06-15,49900,-4.59,51400,52000,49900,28772921
2020-06-12,52300,-3.68,52100,52800,51500,26976019
2020-06-11,54300,-1.99,54500,55100,53200,33815123
2020-06-10,55400,-0.18,55100,55900,54900,16742493
2020-06-09,55500,1.09,55800,56500,54400,23998831
2020-06-08,54900,-1.08,56400,56500,54700,25634965
2020-06-05,55500,1.65,54400,55900,54000,22743629
2020-06-04,54600,0.18,55800,57000,54600,40220334
2020-06-03,54500,6.03,51800,55000,51700,49257814
2020-06-02,51400,0.39,51000,51500,50800,14247933
2020-06-01,51200,0.99,50800,51200,50600,16949183
2020-05-29,50700,0.60,50000,50700,49700,27596961
2020-05-28,50400,1.00,51100,51200,49900,31309318
2020-05-27,49900,1.32,48950,50000,48800,19548479
2020-05-26,49250,0.82,48700,49450,48600,15127490
2020-05-25,48850,0.21,48750,48900,48450,14337913
2020-05-22,48750,-2.40,49600,49800,48600,19706284
2020-05-21,49950,-0.10,50300,50400,49850,14949266
2020-05-20,50000,-0.60,50000,50200,49800,14896899
2020-05-19,50300,3.07,50100,50500,49700,25168295
2020-05-18,48800,1.99,47950,49100,47600,20481981
2020-05-15,47850,-0.31,48400,48450,47700,18463118
2020-05-14,48000,-1.13,47750,48100,47650,19305974
2020-05-13,48550,1.36,47250,48550,47200,20223277
2020-05-12,47900,-1.03,48400,48500,47550,23433590
2020-05-11,48400,-0.82,48900,49250,48300,16357743
2020-05-08,48800,0.00,49100,49350,48800,15319700
2020-05-07,48800,-0.81,49200,49300,48700,13884411
2020-05-06,49200,1.44,49000,49200,48500,18070225
2020-05-04,48500,-3.00,48900,49100,48500,26083749
2020-04-29,50000,-0.20,49900,50500,49600,15604533
2020-04-28,50100,0.50,49850,50100,49300,16095399
2020-04-27,49850,1.01,49350,50000,49100,14049471
2020-04-24,49350,-1.00,49650,49750,49000,15618347
2020-04-23,49850,0.00,50200,50300,49500,18754442
2020-04-22,49850,1.22,48700,50000,48350,18613864
2020-04-21,49250,-1.70,49400,49700,48700,27407543
2020-04-20,50100,-2.53,51400,51400,50000,21866354
2020-04-17,51400,4.90,50800,52000,50300,32041675
2020-04-16,49000,0.00,49350,49350,48550,23349760
2020-04-14,49000,1.45,48800,49200,48300,14206216
2020-04-13,48300,-1.93,48650,48900,48300,14431800
2020-04-10,49250,0.31,48950,49250,48650,17839111
2020-04-09,49100,1.03,49750,49800,48700,22628058
2020-04-08,48600,-2.02,49600,49750,48600,25010314
2020-04-07,49600,1.85,49650,50200,49000,31524034
2020-04-06,48700,3.62,47500,48800,47250,23395726
2020-04-03,47000,0.43,47400,47600,46550,22784682
2020-04-02,46800,2.18,46200,46850,45350,21621076
2020-04-01,45800,-4.08,47450,47900,45800,27259532
2020-03-31,47750,-0.21,48000,48500,47150,30654261
2020-03-30,47850,-0.93,47050,48350,46550,26797395
2020-03-27,48300,1.05,49600,49700,46850,39896178
2020-03-26,47800,-1.75,49000,49300,47700,42185129
2020-03-25,48650,3.62,48950,49600,47150,52735922
2020-03-24,46950,10.47,43850,46950,43050,49801908
2020-03-23,42500,-6.39,42600,43550,42400,41701626
2020-03-20,45400,5.70,44150,45500,43550,49730008
2020-03-19,42950,-5.81,46400,46650,42300,56925513
2020-03-18,45600,-3.59,47750,48350,45600,40152623
2020-03-17,47300,-3.27,46900,49650,46700,51218151
2020-03-16,48900,-2.10,50100,50900,48800,33339821
2020-03-13,49950,-1.67,47450,51600,46850,59462933
2020-03-12,50800,-2.50,51000,51900,49300,48149999
2020-03-11,52100,-4.58,54300,54400,52000,45707281
2020-03-10,54600,0.74,53800,54900,53700,32106554
2020-03-09,54200,-4.07,54700,55000,53600,30261485
2020-03-06,56500,-2.25,56500,57200,56200,18716656
2020-03-05,57800,0.70,57600,58000,56700,21698990
2020-03-04,57400,3.61,54800,57600,54600,24765728
2020-03-03,55400,0.73,56700,56900,55100,30330295
2020-03-02,55000,1.48,54300,55500,53600,30403412
2020-02-28,54200,-3.04,55000,55500,54200,30054227
2020-02-27,55900,-1.06,56300,56900,55500,23209541
2020-02-26,56500,-2.42,56000,57000,56000,25483102
2020-02-25,57900,1.94,56200,58000,56200,23885408
2020-02-24,56800,-4.05,57400,58100,56800,25627537
2020-02-21,59200,-1.33,58800,59800,58500,13777393
2020-02-20,60000,-0.33,60700,61300,59600,14591924
2020-02-19,60200,0.67,59800,60400,59400,12951496
2020-02-18,59800,-2.76,60800,60900,59700,16674266
2020-02-17,61500,-0.49,61600,62000,61200,8740596
2020-02-14,61800,1.81,60900,61900,60200,13276067
2020-02-13,60700,0.33,61200,61600,60500,18449775
2020-02-12,60500,1.00,60300,60700,59700,12904207
2020-02-11,59900,0.34,59800,60700,59700,11071231
2020-02-10,59700,-1.16,59200,59800,59100,13107121
2020-02-07,60400,-1.15,61100,61200,59700,16402493
2020-02-06,61100,2.69,60100,61100,59700,14727159
2020-02-05,59500,1.02,60000,60200,58900,19278165
2020-02-04,58900,2.97,57100,59000,56800,21800192
2020-02-03,57200,1.42,55500,57400,55200,23995260
2020-01-31,56400,-1.40,57800,58400,56400,19749457
2020-01-30,57200,-3.21,58800,58800,56800,20821939
2020-01-29,59100,0.51,59100,59700,58800,16446102
2020-01-28,58800,-3.29,59400,59400,58300,23664541
2020-01-23,60800,-2.41,61800,61800,60700,14916555
2020-01-22,62300,1.47,60500,62600,60400,15339565
2020-01-21,61400,-1.60,62000,62400,61200,11142693
2020-01-20,62400,1.79,62000,62800,61700,12528855
2020-01-17,61300,0.99,61900,62000,61000,16025661
2020-01-16,60700,2.88,59100,60700,59000,14381774
2020-01-15,59000,-1.67,59500,59600,58900,14300928
2020-01-14,60000,0.00,60400,61000,59900,16906295
2020-01-13,60000,0.84,59600,60000,59100,11359139
2020-01-10,59500,1.54,58800,59700,58300,16000170
2020-01-09,58600,3.17,58400,58600,57400,24102579
2020-01-08,56800,1.79,56200,57400,55900,23501171
2020-01-07,55800,0.54,55700,56400,55600,10009778
2020-01-06,55500,0.00,54900,55600,54600,10278951
2020-01-03,55500,0.54,56000,56600,54900,15422255
2020-01-02,55200,-1.08,55500,56000,55000,12993228
2019-12-30,55800,-1.24,56200,56600,55700,8356767
2019-12-27,56500,1.99,55700,56900,55500,12313056
2019-12-26,55400,0.73,54700,55400,54400,9645034
2019-12-24,55000,-0.90,55600,55700,54800,11868463
2019-12-23,55500,-0.89,56100,56400,55100,9839252
2019-12-20,56000,0.00,56100,56500,55600,12095519
2019-12-19,56000,-0.53,57000,57300,55500,14180520
2019-12-18,56300,-0.71,56700,57200,56000,15558208
2019-12-17,56700,3.66,55800,56700,55400,19358433
2019-12-16,54700,0.00,54500,54900,54300,11512405
2019-12-13,54700,2.63,54500,54800,53900,18120261
2019-12-12,53300,2.70,53000,53300,52700,29178697
2019-12-11,51900,0.78,51500,52200,51400,11379521
2019-12-10,51500,0.59,51000,51600,50700,6882771
2019-12-09,51200,1.59,50900,51400,50700,8470627
2019-12-06,50400,1.82,50100,50900,49950,11414563
2019-12-05,49500,0.10,50200,50400,49500,10449715
